id,name,price_nzd,room_type,accommodates,minimum_nights,review_scores_rating,number_of_reviews,last_review,region_parent_name,latitude,longitude,host_name,formatted_price
l902438628248973041,Guest suite in Papamoa · ★4.93 · 1 bedroom · 1 bed · 1 bath,221.0,Entire home/apt,2,1,4.93,15,2023-09-01,Tauranga City,-37.7114618,176.2850089,Fran,$221.00
l54024655,Vacation home in Nelson · ★4.95 · 1 bedroom · 1 bed · 1 bath,130.0,Entire home/apt,2,2,4.95,19,2023-04-18,Nelson City,-41.28306,173.2863,Trish,$130.00
l867645673809471274,Home in Whangaparāoa · 2 bedrooms · 2 beds · 1 bath,310.0,Entire home/apt,4,2,,0,,Auckland,-36.63401,174.76113999999995,Bachcare,$310.00
l42628956,Rental unit in Christchurch · ★4.72 · 1 bedroom · 2 beds · 1 bath,149.0,Entire home/apt,4,1,4.72,116,2023-08-19,Christchurch City,-43.53006,172.64348,Lexia,$149.00
l745819010796659599,Home in Queenstown · ★4.89 · 2 bedrooms · 4 beds · 1 bath,411.0,Entire home/apt,4,3,4.89,18,2023-08-07,Queenstown-Lakes District,-45.0404741,168.62586940000003,Lucy & Luke,$411.00
l37058212,Farm stay in Pukeokahu · 1 bedroom · 2 beds · 1 bath,140.0,Entire home/apt,4,2,4.0,1,2023-01-28,Rangitikei District,-39.61936,176.03117,Kylie,$140.00
l926449034030595139,Townhouse in Christchurch · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,161.0,Entire home/apt,4,1,5.0,5,2023-08-28,Christchurch City,-43.535568,172.63188530000005,Dan,$161.00
l15012320,Townhouse in Wellington · ★4.86 · 2 bedrooms · 2 beds · 1 bath,400.0,Entire home/apt,4,30,4.86,51,2019-02-23,Wellington City,-41.29465,174.7974,Clare,$400.00
l53345967,Home in Waikuku · 1 bedroom · 1 bed · 1 shared bath,310.0,Private room,2,1,,0,,Waimakariri District,-43.30716,172.64829,Lily & Geoff,$310.00
l921111803766338761,Home in Auckland · ★New · 3 bedrooms · 3 beds · 1 bath,200.0,Entire home/apt,5,7,,0,,Auckland,-36.869580214205534,174.71011119387313,David,$200.00
l931959929810548422,Home in Auckland · ★4.80 · 4 bedrooms · 5 beds · 1.5 baths,277.0,Entire home/apt,8,1,4.8,5,2023-08-19,Auckland,-36.9830102,174.888446,Team EJ,$277.00
l626971881310193491,Home in Wellington · 1 bedroom · 1 bed · 1 shared bath,150.0,Private room,2,1,4.0,2,2022-06-24,Wellington City,-41.30549,174.79686,Jeremy,$150.00
l23337791,Home in Whangamata · ★4.97 · 2 bedrooms · 3 beds · 1 bath,150.0,Entire home/apt,4,2,4.97,35,2023-07-12,Thames-Coromandel District,-37.22075,175.87241,Kylie,$150.00
l45702773,Home in Masterton · ★4.91 · 3 bedrooms · 4 beds · 1 bath,206.0,Entire home/apt,6,1,4.91,134,2023-08-24,Masterton District,-40.94887161254883,175.65631103515625,Andrea,$206.00
l940098670820111034,Home in Christchurch · ★New · 3 bedrooms · 3 beds · 1 bath,155.0,Entire home/apt,6,2,5.0,1,2023-08-20,Christchurch City,-43.56724900723778,172.63566496036373,Judy,$155.00
l46842757,Guest suite in Invercargill · ★4.76 · 1 bedroom · 1 bed · 1 private bath,105.0,Private room,2,2,4.76,17,2023-04-02,Invercargill City,-46.40928,168.3753,Penny,$105.00
l659703142508024447,Rental unit in Auckland · 4 bedrooms · 4 beds · 4 shared baths,480.0,Private room,8,3,5.0,1,2022-10-23,Auckland,-36.75321,174.7106,Liam,$480.00
l858864456526386773,Home in Whitianga · 4 bedrooms · 5 beds · 2 baths,414.0,Entire home/apt,8,2,,0,,Thames-Coromandel District,-36.82566,175.69742,Melinda,$414.00
l765946161182467518,Hotel in Ōkato · Studio · 1 bed · 1 private bath,220.0,Private room,2,365,,0,,New Plymouth District,-39.19177,173.8672,Alisha,$220.00
l46570371,Rental unit in Auckland · ★5.0 · 2 bedrooms · 2 beds · 2 baths,350.0,Entire home/apt,4,2,5.0,7,2023-01-22,Auckland,-36.58814,174.6974,Stephanie,$350.00
l866827777241059615,Rental unit in Wānaka · 2 bedrooms · 3 beds · 2 baths,575.0,Entire home/apt,4,2,5.0,1,2023-08-10,Queenstown-Lakes District,-44.70076,169.12798,Te Wanaka Lodge,$575.00
l21651721,Cottage in Purakaunui · ★4.86 · 1 bedroom · 1 bed · 1 bath,180.0,Entire home/apt,2,2,4.86,22,2023-05-18,Dunedin City,-45.75196,170.63713,Lisa,$180.00
l925038961787731861,Rental unit in Porirua · ★New · 1 bedroom · 1 bed · 1.5 shared baths,72.0,Private room,2,2,,0,,Porirua City,-41.0745456,174.8642006,Claire,$72.00
l11514991,Home in Auckland · 2 bedrooms · 2 beds · 1 bath,200.0,Entire home/apt,4,14,5.0,1,2022-07-18,Auckland,-36.62433,174.74849,Robyn,$200.00
l12133839,Home in Tasman · ★4.28 · 3 bedrooms · 5 beds · 1 bath,201.0,Entire home/apt,7,2,4.28,18,2023-02-13,Tasman District,-41.18378,173.06403999999995,"Mara, Ola, Jarrod & Rob.",$201.00
l16781087,Bed and breakfast in Greta Valley · ★4.33 · 4 bedrooms · 12 beds · 4 baths,180.0,Private room,12,1,4.33,3,2019-01-02,Hurunui District,-42.95405,173.01152,John,$180.00
l24503102,Nature lodge in Waitangi · ★4.27 · 7 bedrooms · 1 bed · 1 private bath,90.0,Hotel room,2,1,4.27,63,2023-04-12,Far North District,-35.27749,174.04957,Michael,$90.00
l761689575247131845,Rental unit in Taupō · ★4.80 · 3 bedrooms · 5 beds · 2.5 baths,425.0,Entire home/apt,7,2,4.8,5,2023-04-15,Taupo District,-38.6812564,176.0450742,Chanelle,$425.00
l41113230,Home in Havelock North · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,1000.0,Entire home/apt,7,2,5.0,6,2023-01-04,Hastings District,-39.68436,176.90626,Catherine,"$1,000.00"
l49111548,Home in Auckland · 1 bedroom · 1 bed · 1 private bath,179.0,Private room,3,1,,0,,Auckland,-36.8969,174.92765,Ally,$179.00
l50555554,Rental unit in Dunedin · ★4.83 · 1 bedroom · 1 bed · 1 bath,184.0,Entire home/apt,2,2,4.83,30,2023-07-07,Dunedin City,-45.873589,170.505295,Dunedin Short Stays,$184.00
l566284365296787585,Townhouse in Christchurch · ★4.88 · 1 bedroom · 1 bed · 1 bath,107.0,Entire home/apt,2,1,4.88,60,2023-08-20,Christchurch City,-43.53239,172.64928,Min,$107.00
l916165198800949701,Farm stay in Waiau · ★5.0 · 2 bedrooms · 3 beds · 1 bath,130.0,Entire home/apt,4,1,5.0,8,2023-09-02,Hurunui District,-42.6671227,173.0909034,Meg,$130.00
l936301176866909734,Home in Palmerston North · ★New · 6 bedrooms · 5 beds · 2 baths,300.0,Entire home/apt,6,1,,0,,Palmerston North City,-40.355049,175.618773,Letitcia,$300.00
l772173835451804499,Home in Auckland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,79.0,Private room,1,1,5.0,9,2023-06-10,Auckland,-37.0482722,174.93353330000005,Keerthika,$79.00
l810204665853886436,Home in Napier · 2 bedrooms · 2 beds · 2 baths,439.0,Entire home/apt,6,2,5.0,2,2023-08-10,Napier City,-39.52976,176.91331,Ronnie,$439.00
l46490005,Farm stay in Otane · 1 bedroom · 3 beds · 1 shared bath,120.0,Private room,2,2,5.0,1,2021-01-02,Central Hawke's Bay District,-39.95264,176.69286,Breige,$120.00
l689318006355571865,Home in Mount Pisa · ★5.0 · 4 bedrooms · 7 beds · 2 baths,509.0,Entire home/apt,7,2,5.0,6,2023-03-26,Central Otago District,-44.96882,169.25026,Bronia,$509.00
l46923367,Tiny home in New Plymouth · ★4.86 · 1 bed · 1 bath,99.0,Entire home/apt,2,1,4.86,81,2023-07-01,New Plymouth District,-39.09831,174.07513,Richard,$99.00
l22867935,Guesthouse in Waihi · ★4.92 · 1 bedroom · 1 bed · 1 bath,55.0,Entire home/apt,2,1,4.92,278,2023-08-08,Hauraki District,-37.40394000000001,175.82911,Caron,$55.00
l52584080,Condo in Hamilton · ★4.87 · 2 bedrooms · 2 beds · 1 bath,210.0,Entire home/apt,4,1,4.87,92,2023-08-29,Hamilton City,-37.79511,175.28786000000005,Darryn,$210.00
l52094204,Guest suite in New Plymouth · ★4.96 · 1 bedroom · 1 bed · 1 bath,100.0,Entire home/apt,2,1,4.96,79,2023-08-27,New Plymouth District,-39.02639,174.16249,Sheryl,$100.00
l17532478,Home in Auckland · ★4.95 · 1 bedroom · 1 bed · 1 private bath,65.0,Private room,2,1,4.95,109,2023-09-02,Auckland,-36.90994,174.89471,Lindsay,$65.00
l862459909963928150,Home in Kaikōura · 3 bedrooms · 4 beds · 2 baths,319.0,Entire home/apt,6,2,5.0,2,2023-07-14,Kaikoura District,-42.41177,173.64188,Kaikoura Holiday Homes,$319.00
l867735894839158721,Home in Tokoroa · 1 bedroom · 1 bed · 1 shared bath,100.0,Private room,1,1,5.0,2,2023-08-19,South Waikato District,-38.20824,175.82627,Chloe,$100.00
l13069062,Home in Queenstown · ★4.69 · 3 bedrooms · 3 beds · 2 baths,485.0,Entire home/apt,6,3,4.69,370,2023-06-10,Queenstown-Lakes District,-45.043,168.62882,Lisa,$485.00
l874931967672976167,Guesthouse in Auckland · ★New · 1 bedroom · 1 bed · 1 bath,190.0,Entire home/apt,2,1,5.0,1,2023-08-02,Auckland,-36.89591,174.92404,Diana,$190.00
l659170994674841012,Boutique hotel in Queenstown · ★5.0 · 1 bedroom · 1 bed · 1 private bath,299.0,Private room,2,3,5.0,17,2023-07-05,Queenstown-Lakes District,-45.0198414,168.703087,Nelson,$299.00
l45740437,Home in Ruakaka · ★4.91 · 2 bedrooms · 3 beds · 1 bath,250.0,Entire home/apt,4,3,4.91,11,2023-02-02,Whangarei District,-35.91285999999999,174.45492,Somer,$250.00
l46263075,Home in Waiheke Island · 3 bedrooms · 4 beds · 2 baths,525.0,Entire home/apt,6,6,,0,,Auckland,-36.79296,175.02924,Jenny,$525.00
l51671467,Rental unit in Auckland · 1 bedroom · 1 bed · 1 shared bath,43.0,Private room,1,90,,0,,Auckland,-36.8577,174.76053000000005,Laura,$43.00
l874211606835436091,Home in Papamoa · ★5.0 · 2 bedrooms · 2 beds · 1 private bath,140.0,Private room,4,1,5.0,3,2023-07-08,Tauranga City,-37.68924000000001,176.2444,Victoria,$140.00
l593742371319917588,Home in Ohakune · ★4.25 · 3 bedrooms · 4 beds · 2 baths,276.0,Entire home/apt,8,2,4.25,4,2021-07-19,Ruapehu District,-39.42171,175.40317,Bachcare,$276.00
l924867423418211649,Home in Kinloch · ★New · 3 bedrooms · 4 beds · 1.5 baths,250.0,Entire home/apt,6,2,,0,,Taupo District,-38.66082411492979,175.92551021592453,A Listing Property,$250.00
l658827317432289165,Bungalow in Ohakune · 4 bedrooms · 5 beds · 2 baths,271.0,Entire home/apt,9,2,,0,,Ruapehu District,-39.42237,175.40892,Bachcare,$271.00
l43547472,Guesthouse in Auckland · ★4.78 · 2 bedrooms · 2 beds · 1 bath,111.0,Entire home/apt,4,2,4.78,227,2023-08-17,Auckland,-36.87365859979714,174.72390152431765,Nancy,$111.00
l32189596,Cottage in Te Awamutu · ★4.87 · 2 bedrooms · 4 beds · 1 bath,154.0,Entire home/apt,5,1,4.87,239,2023-08-27,Waipa District,-37.97873,175.35752,Liz And Martyn,$154.00
l35616010,Bungalow in Napier · ★4.86 · 1 bedroom · 1 bed · 1 private bath,60.0,Private room,2,1,4.86,71,2023-08-31,Napier City,-39.53741,176.85457,Michele,$60.00
l40568957,Rental unit in New Plymouth · ★4.53 · 1 bedroom · 1 bed · 1 bath,149.0,Entire home/apt,2,1,4.53,30,2023-04-18,New Plymouth District,-39.04419,174.10198,Joanne,$149.00
l42869847,Rental unit in Ahipara · ★4.95 · 1 bedroom · 1 bed · 1 bath,185.0,Entire home/apt,2,2,4.95,20,2023-04-22,Far North District,-35.16437,173.15483,Raylene,$185.00
l937409847341668459,Townhouse in Te Anau · ★New · 2 bedrooms · 2 beds · 1 bath,280.0,Entire home/apt,4,2,,0,,Southland District,-45.4172726,167.72678169999998,Mary,$280.00
l43838381,Serviced apartment in Nelson · 2 bedrooms · 3 beds · 2 baths,287.0,Entire home/apt,5,1,5.0,1,2021-08-08,Nelson City,-41.2691,173.2886,Jon,$287.00
l799398114129081462,Home in Waiohiki · 5 bedrooms · 5 beds · 3 baths,1500.0,Entire home/apt,10,2,,0,,Hastings District,-39.558908759424405,176.8145564158691,Tim,"$1,500.00"
l33593100,Home in Cape Palliser · ★4.96 · 3 bedrooms · 4 beds · 1 bath,160.0,Entire home/apt,6,2,4.96,26,2023-08-09,South Wairarapa District,-41.47464,175.20871,Donna,$160.00
l32621360,Rental unit in Queenstown · ★4.54 · 2 bedrooms · 2 beds · 1 bath,358.0,Entire home/apt,4,2,4.54,107,2023-08-12,Queenstown-Lakes District,-45.03521,168.65378,Miffy,$358.00
l716300644978278083,Guest suite in Greytown · ★5.0 · 1 bedroom · 1 bed · 1 bath,170.0,Entire home/apt,2,1,5.0,46,2023-08-12,South Wairarapa District,-41.08278,175.46463,Jill,$170.00
l48666170,Cabin in Carterton · ★4.88 · 2 bedrooms · 2 beds · 1 bath,180.0,Entire home/apt,4,2,4.88,33,2023-07-29,Carterton District,-41.01951,175.52639,Bronwen,$180.00
l733707419689042044,Townhouse in Auckland · ★4.67 · 1 bedroom · 1 bed · 1 private bath,100.0,Private room,1,2,4.67,6,2023-05-17,Auckland,-36.85403,174.85089,Kim,$100.00
l930872839147222156,Home in Wānaka · ★New · 3 bedrooms · 4 beds · 1 bath,259.0,Entire home/apt,7,3,5.0,1,2023-08-29,Queenstown-Lakes District,-44.68797250000001,169.1374052,Marika,$259.00
l908880658550115964,Rental unit in Queenstown · 2 bedrooms · 3 beds · 1 bath,469.0,Entire home/apt,4,3,5.0,1,2023-07-04,Queenstown-Lakes District,-44.9861857,168.6785852,Sandi,$469.00
l49890762,Guesthouse in Gisborne · ★4.84 · 1 bedroom · 1 bed · 1 bath,149.0,Entire home/apt,3,1,4.84,109,2023-07-26,Gisborne District,-38.65182,178.02395,AnG-Emma-Nicola,$149.00
l13829931,Hostel in Glenorchy · ★4.75 · 1 bedroom · 4 beds · 4 shared baths,66.0,Hotel room,1,1,4.75,69,2023-04-16,Queenstown-Lakes District,-44.84343,168.34886,Kinloch,$66.00
l26752364,Guesthouse in Kaitaia · ★4.99 · 1 bedroom · 1 bed · 1 bath,100.0,Entire home/apt,2,1,4.99,289,2023-08-26,Far North District,-35.14294,173.24909,Sheena,$100.00
l31604794,Farm stay in Waingaro · ★4.98 · 4 bedrooms · 7 beds · 1 bath,130.0,Entire home/apt,10,2,4.98,56,2023-06-21,Waikato District,-37.66845,175.04365,Sherice,$130.00
l624947286704231853,Guesthouse in Palmerston North · ★4.71 · 1 bedroom · 1 bed · 1 bath,70.0,Entire home/apt,2,1,4.71,190,2023-08-30,Palmerston North City,-40.37468,175.59566999999996,Hayley,$70.00
l22422999,Home in Cass Bay · ★4.93 · 2 bedrooms · 3 beds · 1 private bath,95.0,Private room,5,1,4.93,119,2023-09-01,Christchurch City,-43.60442000000001,172.68787,Michele And Andrew,$95.00
l875049939118684023,Home in Kerikeri · ★4.75 · 4 bedrooms · 5 beds · 1 bath,190.0,Entire home/apt,8,2,4.75,4,2023-06-27,Far North District,-35.23986,173.919,Linda,$190.00
l20803068,Home in Raglan · ★4.88 · 3 bedrooms · 3 beds · 2 baths,240.0,Entire home/apt,6,2,4.88,126,2023-07-30,Waikato District,-37.80154,174.87149,Julls,$240.00
l1370679,Loft in Auckland · ★4.81 · 1 bedroom · 1 bed · 1 bath,110.0,Entire home/apt,2,2,4.81,53,2023-02-23,Auckland,-36.90968,174.94553,Karin,$110.00
l15362285,Home in Te Hapua · ★4.77 · 3 bedrooms · 5 beds · 1.5 baths,200.0,Entire home/apt,7,1,4.77,96,2023-07-29,Far North District,-34.51571,172.91223,Tui,$200.00
l53920976,Home in Thames · ★4.63 · 3 bedrooms · 3 beds · 1 bath,170.0,Entire home/apt,6,2,4.63,8,2023-07-15,Thames-Coromandel District,-37.14718,175.54833,Louise,$170.00
l40515138,Home in Ross · ★4.93 · 2 bedrooms · 3 beds · 1 bath,137.0,Entire home/apt,4,1,4.93,227,2023-08-25,Westland District,-42.89775,170.81725,Jack,$137.00
l37688660,Home in Opotiki · ★4.78 · 6 bedrooms · 7 beds · 2 baths,313.0,Entire home/apt,10,2,4.78,18,2023-04-23,Ōpōtiki District,-38.00966,177.32183999999995,Bush To Bay,$313.00
l624068502640486521,Home in Queenstown · ★4.96 · 4 bedrooms · 7 beds · 1.5 baths,720.0,Entire home/apt,10,3,4.96,23,2023-08-20,Queenstown-Lakes District,-45.03182,168.67359,Jo,$720.00
l16814526,Rental unit in Queenstown · ★4.95 · 2 bedrooms · 3 beds · 2 baths,450.0,Entire home/apt,4,3,4.95,165,2023-08-25,Queenstown-Lakes District,-45.02127,168.70147,Juliet,$450.00
l5213151,Guest suite in Tauranga · ★4.89 · 1 bedroom · 1 bed · 1 bath,200.0,Entire home/apt,2,3,4.89,36,2021-02-20,Tauranga City,-37.66921,176.23107,Robin And Audrey,$200.00
l34281866,Rental unit in Auckland · ★5.0 · 2 bedrooms · 2 beds · 2 baths,200.0,Entire home/apt,5,4,5.0,3,2021-01-03,Auckland,-36.85757,174.75418,Rhys,$200.00
l645342509444566241,Villa in Hamilton · ★4.97 · 6 bedrooms · 7 beds · 3.5 baths,776.0,Entire home/apt,12,2,4.97,37,2023-07-15,Hamilton City,-37.77942,175.27723999999995,Vindya,$776.00
l963308799874269366,Rental unit in Tauranga · ★New · 1 bedroom · 2 beds · 1 bath,231.0,Entire home/apt,3,1,,0,,Tauranga City,-37.69342620000001,176.1667114,Bronwyn,$231.00
l19806165,Guesthouse in Auckland · ★4.98 · 4 bedrooms · 4 beds · 1 bath,118.0,Entire home/apt,6,2,4.98,60,2019-01-02,Auckland,-36.85947,174.72968,Jude,$118.00
l15857719,Hostel in Westport · ★4.0 · 1 bedroom · 1 bed · 0 baths,85.0,Private room,2,1,4.0,3,2023-02-26,Buller District,-41.75491,171.60112,Jack,$85.00
l29688831,Home in Queenstown · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,650.0,Entire home/apt,6,3,5.0,9,2023-08-27,Queenstown-Lakes District,-45.03915,168.63629,Michele,$650.00
